timestamp,user_count,fetched_at
2026-01-08T06:00:00.000Z,9369881,2026-01-12T02:10:10.277098
2026-01-08T07:00:00.000Z,8967823,2026-01-12T02:10:10.277098
2026-01-08T08:00:00.000Z,9003079,2026-01-12T02:10:10.277098
2026-01-08T09:00:00.000Z,9384954,2026-01-12T02:10:10.277098
2026-01-08T10:00:00.000Z,10072955,2026-01-12T02:10:10.277098
2026-01-08T11:00:00.000Z,11023559,2026-01-12T02:10:10.277098
2026-01-08T12:00:00.000Z,12022006,2026-01-12T02:10:10.277098
2026-01-08T13:00:00.000Z,12575014,2026-01-12T02:10:10.277098
2026-01-08T14:00:00.000Z,12746429,2026-01-12T02:10:10.277098
2026-01-08T15:00:00.000Z,13250724,2026-01-12T02:10:10.277098
2026-01-08T16:00:00.000Z,13466741,2026-01-12T02:10:10.277098
2026-01-08T17:00:00.000Z,13910870,2026-01-12T02:10:10.277098
2026-01-08T18:00:00.000Z,13668647,2026-01-12T02:10:10.277098
2026-01-08T19:00:00.000Z,13492828,2026-01-12T02:10:10.277098
2026-01-08T20:00:00.000Z,12989999,2026-01-12T02:10:10.277098
2026-01-08T21:00:00.000Z,12215704,2026-01-12T02:10:10.277098
2026-01-08T22:00:00.000Z,12063178,2026-01-12T02:10:10.277098
2026-01-08T23:00:00.000Z,12336079,2026-01-12T02:10:10.277098
2026-01-09T00:00:00.000Z,12585877,2026-01-12T02:10:10.277098
2026-01-09T01:00:00.000Z,12563768,2026-01-12T02:10:10.277098
2026-01-09T02:00:00.000Z,12453487,2026-01-12T02:10:10.277098
2026-01-09T03:00:00.000Z,11772484,2026-01-12T02:10:10.277098
2026-01-09T04:00:00.000Z,11251981,2026-01-12T02:10:10.277098
2026-01-09T05:00:00.000Z,10231990,2026-01-12T02:10:10.277098
2026-01-09T06:00:00.000Z,9997917,2026-01-12T02:10:10.277098
2026-01-09T07:00:00.000Z,9749991,2026-01-12T02:10:10.277098
2026-01-09T08:00:00.000Z,9783107,2026-01-12T02:10:10.277098
2026-01-09T09:00:00.000Z,10216004,2026-01-12T02:10:10.277098
2026-01-09T10:00:00.000Z,11022394,2026-01-12T02:10:10.277098
2026-01-09T11:00:00.000Z,12165885,2026-01-12T02:10:10.277098
2026-01-09T12:00:00.000Z,13526198,2026-01-12T02:10:10.277098
2026-01-09T13:00:00.000Z,14289882,2026-01-12T02:10:10.277098
2026-01-09T14:00:00.000Z,14397240,2026-01-12T02:10:10.277098
2026-01-09T15:00:00.000Z,14410091,2026-01-12T02:10:10.277098
2026-01-09T16:00:00.000Z,15134267,2026-01-12T02:10:10.277098
2026-01-09T17:00:00.000Z,15136373,2026-01-12T02:10:10.277098
2026-01-09T18:00:00.000Z,14838485,2026-01-12T02:10:10.277098
2026-01-09T19:00:00.000Z,14577509,2026-01-12T02:10:10.277098
2026-01-09T20:00:00.000Z,14341475,2026-01-12T02:10:10.277098
2026-01-09T21:00:00.000Z,14172170,2026-01-12T02:10:10.277098
2026-01-09T22:00:00.000Z,13990045,2026-01-12T02:10:10.277098
2026-01-09T23:00:00.000Z,14221152,2026-01-12T02:10:10.277098
2026-01-10T00:00:00.000Z,14555256,2026-01-12T02:10:10.277098
2026-01-10T01:00:00.000Z,15053993,2026-01-12T02:10:10.277098
2026-01-10T02:00:00.000Z,15136054,2026-01-12T02:10:10.277098
2026-01-10T03:00:00.000Z,14872721,2026-01-12T02:10:10.277098
2026-01-10T04:00:00.000Z,14821038,2026-01-12T02:10:10.277098
2026-01-10T05:00:00.000Z,13909068,2026-01-12T02:10:10.277098
2026-01-10T06:00:00.000Z,13088722,2026-01-12T02:10:10.277098
2026-01-10T07:00:00.000Z,12870315,2026-01-12T02:10:10.277098
2026-01-10T08:00:00.000Z,13147725,2026-01-12T02:10:10.277098
2026-01-10T09:00:00.000Z,13203315,2026-01-12T02:10:10.277098
2026-01-10T10:00:00.000Z,13485843,2026-01-12T02:10:10.277098
2026-01-10T11:00:00.000Z,15196954,2026-01-12T02:10:10.277098
2026-01-10T12:00:00.000Z,15989990,2026-01-12T02:10:10.277098
2026-01-10T13:00:00.000Z,17139998,2026-01-12T02:10:10.277098
2026-01-10T14:00:00.000Z,17642668,2026-01-12T02:10:10.277098
2026-01-10T15:00:00.000Z,18303915,2026-01-12T02:10:10.277098
2026-01-10T16:00:00.000Z,19449908,2026-01-12T02:10:10.277098
2026-01-10T17:00:00.000Z,20422610,2026-01-12T02:10:10.277098
2026-01-10T18:00:00.000Z,24132571,2026-01-12T02:10:10.277098
2026-01-10T19:00:00.000Z,25334117,2026-01-12T02:10:10.277098
2026-01-10T20:00:00.000Z,27413797,2026-01-12T02:10:10.277098
2026-01-10T21:00:00.000Z,18851213,2026-01-12T02:10:10.277098
2026-01-10T22:00:00.000Z,15625897,2026-01-12T02:10:10.277098
2026-01-10T23:00:00.000Z,15184753,2026-01-12T02:10:10.277098
2026-01-11T00:00:00.000Z,15862580,2026-01-12T02:10:10.277098
2026-01-11T01:00:00.000Z,16518071,2026-01-12T02:10:10.277098
2026-01-11T02:00:00.000Z,16679170,2026-01-12T02:10:10.277098
2026-01-11T03:00:00.000Z,16500661,2026-01-12T02:10:10.277098
2026-01-11T04:00:00.000Z,15657638,2026-01-12T02:10:10.277098
2026-01-11T05:00:00.000Z,14770250,2026-01-12T02:10:10.277098
2026-01-11T06:00:00.000Z,13816283,2026-01-12T02:10:10.277098
2026-01-11T07:00:00.000Z,13653538,2026-01-12T02:10:10.277098
2026-01-11T08:00:00.000Z,13726621,2026-01-12T02:10:10.277098
2026-01-11T09:00:00.000Z,13710697,2026-01-12T02:10:10.277098
2026-01-11T10:00:00.000Z,14040281,2026-01-12T02:10:10.277098
2026-01-11T11:00:00.000Z,14546939,2026-01-12T02:10:10.277098
2026-01-11T12:00:00.000Z,15504248,2026-01-12T02:10:10.277098
2026-01-11T13:00:00.000Z,16009813,2026-01-12T02:10:10.277098
2026-01-11T14:00:00.000Z,16183094,2026-01-12T02:10:10.277098
2026-01-11T15:00:00.000Z,16624613,2026-01-12T02:10:10.277098
2026-01-11T16:00:00.000Z,17201652,2026-01-12T02:10:10.277098
2026-01-11T17:00:00.000Z,17487348,2026-01-12T02:10:10.277098
2026-01-11T18:00:00.000Z,17600537,2026-01-12T02:10:10.277098
2026-01-11T19:00:00.000Z,16917613,2026-01-12T02:10:10.277098
2026-01-11T20:00:00.000Z,15931127,2026-01-12T02:10:10.277098
2026-01-11T21:00:00.000Z,14486196,2026-01-12T02:10:10.277098
2026-01-11T22:00:00.000Z,13577832,2026-01-12T02:10:10.277098
2026-01-11T23:00:00.000Z,13248412,2026-01-12T02:10:10.277098
2026-01-12T00:00:00.000Z,13400987,2026-01-12T02:10:10.277098
2026-01-12T01:00:00.000Z,13420912,2026-01-12T02:10:10.277098
